1,THU AUG 19 21:54:38 2021,125094,CAR,2	4856	PC7C042B7,    AU1
2,SAT JUL 31 04:09:44 2021,174434,CAR,2	4154	PC2C2EF9E,    JU3
3,SAT AUG 14 17:19:04 2021,8538286,CAR,2	4070	PCEECA8B2,    AU1
4,MON AUG  2 18:23:45 2021,5521221,CAR,2	4095	PC3E1512A,    AU 
5,THU JUL 29 22:44:20 2021,3267767,CAR,2	4135	PCC943ECD,    JU2
6,SAT AUG 14 03:57:47 2021,8411850,CAR,2	4680	PCC422F4D,    AU1
7,THU AUG 12 03:41:22 2021,6064250,CAR,2	4702	PCDBC3AC9,    AU1
8,SUN AUG 22 10:29:58 2021,6871937,VAN,2	4592	PC627AA14,    AU2
9,FRI AUG  6 14:23:08 2021,2055930,CAR,2	4100	PCC6DD8D5,    AU 
10,SUN AUG 15 13:43:51 2021,8775910,CAR,2	4143	PC5F47DCF,    AU1
11,WED AUG  4 15:52:13 2021,4525747,CAR,2	4466	PC6E93A05,    AU 
12,WED AUG 18 02:22:15 2021,5276143,VAN,2	4352	PC99B9343,    AU1
13,THU AUG 19 16:01:02 2021,5405144,VAN,2	4574	PCC1F6F13,    AU1
14,TUE AUG  3 14:55:00 2021,9309466,CAR,2	4902	PC425C6EC,    AU 
15,THU AUG  5 04:00:30 2021,6494070,VAN,2	4012	PCEF5C190,    AU 
16,SUN AUG  8 13:08:17 2021,4880588,CAR,2	4458	PCECEBBFA,    AU 
17,WED AUG  4 04:56:15 2021,6964507,CAR,2	4886	PC4D892D7,    AU 
18,SUN AUG 15 11:22:44 2021,5740782,TRUCK,4	4680	PCC422F4D,    AU1
19,FRI JUL 30 11:20:47 2021,1060261,VAN,2	4899	PC4967767,    JU3
20,SUN AUG  8 21:22:56 2021,6599783,CAR,2	4855	PC03C5C15,    AU 
21,WED AUG 11 10:33:15 2021,4573378,CAR,2	4737	PCED7EAFE,    AU1
22,FRI AUG  6 02:02:33 2021,1362666,CAR,2	4140	PC5D4821F,    AU 
23,MON AUG  9 05:07:58 2021,9227112,CAR,2	4961	PC92C5115,    AU 
24,FRI AUG 13 18:21:04 2021,1245885,CAR,2	4148	PCDFBBEBB,    AU1
25,THU AUG 12 01:36:28 2021,6702238,CAR,2	4630	PCA26D872,    AU1
26,WED AUG 11 04:05:21 2021,7598066,CAR,2	5003	PCAC9371E,    AU1
27,SUN AUG  8 19:09:41 2021,2959560,CAR,2	4243	PCC4F7DCE,    AU 
28,SUN AUG  1 02:04:42 2021,9223690,CAR,2	4023	PC77793DF,    AU 
29,SUN AUG 15 11:11:42 2021,495967,CAR,2	4987	PCF4A9637,    AU1
30,SAT AUG 14 03:39:26 2021,1920115,CAR,2	4755	PC628DCED,    AU1
31,WED AUG 18 23:33:41 2021,9940618,TRUCK,4	4079	PCF1366ED,    AU1
32,FRI AUG  6 10:18:54 2021,733942,CAR,2	4616	PCE6675F9,    AU 
33,THU AUG 19 15:58:25 2021,3232373,TRUCK,4	4245	PC6594AD4,    AU1
34,THU AUG 19 07:23:18 2021,2164250,TRUCK,4	4090	PC1EE951B,    AU1
35,SUN AUG  1 09:10:05 2021,3714822,TRUCK,4	4383	PC4BFE950,    AU 
36,SAT AUG  7 13:11:54 2021,9870882,VAN,2	4449	PCAACD453,    AU 
37,TUE AUG 10 01:27:00 2021,834998,CAR,2	4351	PC4E572D8,    AU1
38,TUE AUG 10 14:31:35 2021,6715866,CAR,2	4159	PC5631507,    AU1
