currency,name,fullName,precision,confirms,contractAddress,isMarginEnabled,isDebitEnabled,chains
CSP,CSP,Caspian,8,,,False,False,"[{'chainName': 'ERC20', 'withdrawalMinSize': '2999', 'withdrawalMinFee': '2999', 'isWithdrawEnabled': False, 'isDepositEnabled': False, 'confirms': 64, 'preConfirms': 12, 'contractAddress': '0xa6446d655a0c34bc4f05042ee88170d056cbaf45', 'chainId': 'eth'}]"
LOKI,OXEN,Oxen,8,,,False,True,"[{'chainName': 'LOKI', 'withdrawalMinSize': '1.1', 'withdrawalMinFee': '1', 'isWithdrawEnabled': True, 'isDepositEnabled': False, 'confirms': 10, 'preConfirms': 10, 'contractAddress': '', 'chainId': 'loki'}]"
NRG,NRG,Energi,8,,,False,True,"[{'chainName': 'NRG', 'withdrawalMinSize': '0.5', 'withdrawalMinFee': '0.4', 'isWithdrawEnabled': True, 'isDepositEnabled': False, 'confirms': 5000, 'preConfirms': 5000, 'contractAddress': '', 'chainId': 'nrg'}]"
HOT,HOT,HotNow,8,,,False,False,"[{'chainName': 'XLM', 'withdrawalMinSize': '400.000000', 'withdrawalMinFee': '200.000000', 'isWithdrawEnabled': False, 'isDepositEnabled': False, 'confirms': 1, 'preConfirms': 1, 'contractAddress': '', 'chainId': 'xlm'}]"
FET,FET,Fetch.Ai,8,,,True,True,"[{'chainName': 'ERC20', 'withdrawalMinSize': '18', 'withdrawalMinFee': '16', 'isWithdrawEnabled': True, 'isDepositEnabled': True, 'confirms': 64, 'preConfirms': 12, 'contractAddress': '0xaea46a60368a7bd060eec7df8cba43b7ef41ad85', 'chainId': 'eth'}]"
XMR,XMR,Monero,8,,,True,True,"[{'chainName': 'XMR', 'withdrawalMinSize': '0.0034', 'withdrawalMinFee': '0.003', 'isWithdrawEnabled': True, 'isDepositEnabled': True, 'confirms': 12, 'preConfirms': 12, 'contractAddress': '', 'chainId': 'xmr'}]"
RBTC,RBTC,RSK Smart Bitcoin,8,,,False,True,"[{'chainName': 'RBTC', 'withdrawalMinSize': '0.00005', 'withdrawalMinFee': '0.00005', 'isWithdrawEnabled': False, 'isDepositEnabled': False, 'confirms': 250, 'preConfirms': 250, 'contractAddress': '', 'chainId': 'rbtc'}]"
RIF,RIF,RIF Token,8,,,False,True,"[{'chainName': 'RBTC', 'withdrawalMinSize': '3', 'withdrawalMinFee': '1', 'isWithdrawEnabled': False, 'isDepositEnabled': False, 'confirms': 250, 'preConfirms': 250, 'contractAddress': '0x2acc95758f8b5f583470ba265eb685a8f45fc9d5', 'chainId': 'rbtc'}]"
ANKR,ANKR,Ankr Network,8,,,True,True,"[{'chainName': 'ERC20', 'withdrawalMinSize': '300', 'withdrawalMinFee': '240', 'isWithdrawEnabled': True, 'isDepositEnabled': True, 'confirms': 64, 'preConfirms': 12, 'contractAddress': '0x8290333cef9e6d528dd5618fb97a76f268f3edd4', 'chainId': 'eth'}]"
DX,DX,DxChain,8,,,False,False,"[{'chainName': 'ERC20', 'withdrawalMinSize': '40000.000000', 'withdrawalMinFee': '40000.000000', 'isWithdrawEnabled': False, 'isDepositEnabled': False, 'confirms': 64, 'preConfirms': 12, 'contractAddress': '0x973e52691176d36453868d9d86572788d27041a9', 'chainId': 'eth'}]"
MTV,MTV,MultiVAC,8,,,False,True,"[{'chainName': 'BEP20', 'withdrawalMinSize': '2400', 'withdrawalMinFee': '500', 'isWithdrawEnabled': True, 'isDepositEnabled': True, 'confirms': 32, 'preConfirms': 32, 'contractAddress': '0x8aa688ab789d1848d131c65d98ceaa8875d97ef1', 'chainId': 'bsc'}, {'chainName': 'ERC20', 'withdrawalMinSize': '3600', 'withdrawalMinFee': '3000', 'isWithdrawEnabled': True, 'isDepositEnabled': True, 'confirms': 64, 'preConfirms': 12, 'contractAddress': '0x6226e00bcac68b0fe55583b90a1d727c14fab77f', 'chainId': 'eth'}]"
TRTL,TRTL,TurtleCoin,8,,,False,True,"[{'chainName': 'TRTL', 'withdrawalMinSize': '50000.000000', 'withdrawalMinFee': '30000.000000', 'isWithdrawEnabled': False, 'isDepositEnabled': False, 'confirms': 60, 'preConfirms': 60, 'contractAddress': '', 'chainId': 'trtl'}]"
