currency,name,fullName,precision,isMarginEnabled,isDebitEnabled
CSP,csp,caspian,8,False,False
LOKI,oxen,oxen,8,False,True
NRG,nrg,energi,8,False,True
HOT,hot,hotnow,8,False,False
FET,fet,fetch.ai,8,True,True
XMR,xmr,monero,8,True,True
RBTC,rbtc,rsk smart bitcoin,8,False,True
RIF,rif,rif token,8,False,True
ANKR,ankr,ankr network,8,True,True
DX,dx,dxchain,8,False,False
MTV,mtv,multivac,8,False,True
TRTL,trtl,turtlecoin,8,False,True
ODE,ode,odem,8,False,False
CRO,cro,crypto.com coin,8,True,True
NPXS,npxs,pundi x,8,False,False
SPND,spnd,spendcoin,8,False,False
OPT,opt,optimus,8,False,False
KMD,kmd,komodo,8,False,False
RFOX,rfox,redfox,8,False,False
TRY,try,turkish lira,2,False,False
NIX,nix,nix,8,False,False
TT,tt,thundercore,8,False,False
NUSD,nusd,neutral dollar,8,False,False
ATOM,atom,cosmos,8,True,True
CHR,chr,chromia,8,True,True
SNTR,sntr,silent notary,8,False,False
NIM,nim,nimiq,8,False,False
OCEAN,ocean,ocean protocol,8,True,True
COTI,coti,coti,8,False,False
FX,fx,function x,8,False,False
SPRK,sprk,sparkster,8,False,False
PIVX,pivx,pivx,8,False,False
XTZ,xtz,tezos,8,True,True
BNB,bnb,binance chain native token,8,True,True
JAR,jar,jarvis  coins,8,False,False
ALGO,algo,algorand,8,True,True
VOL,vol,volume network token,8,False,False
ADA,ada,cardano,8,True,True
NEM,nem,xem,8,False,False
XEM,xem,nem,8,True,True
CIX100,cix100,cryptoindex 100,8,False,False
ZEC,zec,zec,8,True,True
WXT,wxt,wirex token,8,False,False
OGO,ogo,origo,8,False,False
FORESTPLUS,forestplus,the forbidden forest,8,False,False
BOLT,bolt,bolt token,8,False,False
ARPA,arpa,arpa token,8,True,True
SERO,sero,sero,8,False,False
CHZ,chz,chiliz,8,True,True
WGP,wgp,w green pay,8,False,False
NOIA,noia,syntropy,8,False,False
DAPPT,dappt,dapp.com,8,False,False
BLOC,bloc,blockcloud,8,False,False
EOSC,eosc,eosforce,8,False,False
DERO,dero,dero,8,False,True
WIN,win,wink,8,True,True
WAXP,waxp0,wax protocol tokens,8,False,False
FKX,fkx,fortknoxster,8,False,False
ENQ,enq,enecuum,8,False,False
THETA,theta,theta,8,True,True
ONE,one,harmony,8,True,True
TOKO,toko,tokoin,8,False,False
TFUEL,tfuel,theta fuel,8,False,False
LOL,lol,emogi,8,False,False
LUNA,luna,terra,8,False,True
SDT,sdt,terra sdt,8,False,True
VID,vid,vivid labs,8,False,False
AMIO,amio,amino,8,False,False
MXW,mxw,maxonrow,8,False,False
SXP,sxp,solar,8,True,True
VIDT,vidt,vidt dao,8,False,False
AKRO,akro,akropolis,8,False,False
ROOBEE,roobee,roobee,8,False,False
AMPL,ampl,ampleforth,8,False,True
MAP,map,map protocol,8,False,True
COS,cos,contentos,8,False,False
KPOL,kpol,proof of liquidity,8,False,True
ARX,arx,arcs,8,False,True
NWC,nwc,newscrypto,8,False,True
BEPRO,bepro,bepro network,8,False,True
VRA,vra,verasity,8,True,True
EDGE,edge,edge,8,False,False
KSM,ksm,kusama,8,True,True
XNS,xns,insolar,8,False,True
PMGT,pmgt,perth mint gold token,8,False,True
ROAD,road,road,8,False,True
SUTER,suter,suterusu,8,False,True
ACOIN,acoin,alchemy,8,False,False
VRAB,vrab,verasity,8,False,True
VI,vi,vid,8,False,True
